codpanelista2,wave,sex,age,education,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,immigeco,immicult,polintr,constpref,populisma,populismd,populismf,populismi,populismj,populismn,lrself,femstrike,femdemonstrate,feminfo,femtalk,vote2016,voteintentionspain,hhincome,livingpartner,indeprespect,curiosmanners,selfconfobed,empathybehave
3,9,2,33,3,3,6,2,4,3,7,6,3,2,4,7,2,2,4,4,4,2,5,5,5,,,,,1,4,3,,2,2,2,1
3,10,2,34,3,2,5,3,2,3,7,6,3,1,5,4,1,1,5,5,5,1,4,2,5,1,1,1,1,1,4,3,1,2,2,2,1
3,11,2,35,3,4,3,4,4,4,2,4,4,4,4,7,1,1,5,4,5,2,5,6,6,2,2,1,1,,23,4,0,2,1,2,1
3,12,2,36,3,3,5,3,3,4,5,5,4,4,3,8,1,2,5,4,4,2,5,5,5,2,2,2,1,,23,3,1,2,1,2,1
5,9,1,27,8,1,2,2,2,2,5,5,3,2,8,2,4,5,2,2,3,2,2,2,5,,,,,50,54,99,,2,1,2,2
5,10,1,28,8,2,6,2,2,2,5,5,4,1,7,4,3,5,5,4,5,6,5,7,3,2,2,2,2,,54,99,1,2,1,2,2
5,11,1,29,8,2,6,1,2,2,5,5,3,2,7,4,3,5,5,4,4,5,3,6,5,2,2,2,2,,7,7,1,2,2,2,1
5,12,1,30,8,2,5,5,2,3,6,5,3,3,7,5,3,5,5,5,4,5,3,6,5,2,2,2,2,,55,8,1,2,2,2,2
8,9,2,35,8,4,4,4,4,4,4,5,4,4,7,2,4,1,5,4,4,7,5,7,5,,,,,,4,7,,2,2,2,1
10,9,2,26,10,3,4,3,4,4,4,5,4,5,5,10,4,3,4,4,6,4,4,7,2,,,,,3,53,4,,2,2,2,1
10,10,2,27,10,4,5,4,4,3,5,5,4,4,0,10,4,2,4,4,4,4,4,4,3,2,2,2,2,,53,4,0,1,1,1,1
10,11,2,28,10,3,5,3,3,4,5,4,5,3,3,6,4,2,4,4,5,4,4,7,3,2,2,2,2,,1,7,0,2,1,1,1
10,12,2,29,10,4,4,4,3,4,5,5,4,4,0,10,4,1,4,4,4,4,4,7,3,2,2,2,2,,55,7,0,1,1,2,1
14,9,1,43,8,1,7,1,1,2,7,7,1,1,8,2,2,4,7,2,5,6,6,6,3,,,,,3,3,8,,1,1,2,1
16,9,1,50,3,4,3,4,5,5,4,4,4,3,1,6,2,3,7,4,5,4,5,5,2,,,,,1,1,5,,2,2,2,1
17,9,2,36,3,4,4,4,4,4,4,4,4,4,8,7,3,2,4,4,4,4,4,4,3,,,,,56,4,99,,2,2,2,2
17,10,2,37,3,4,5,6,6,6,6,6,5,5,3,2,3,2,7,7,7,7,7,2,2,2,2,2,2,,54,2,1,2,2,2,2
17,11,2,38,3,7,7,1,1,1,7,7,7,1,9,9,3,3,7,6,5,1,1,7,9,1,1,2,1,,1,5,1,2,2,1,1
19,9,2,45,11,2,6,3,3,1,6,6,3,2,2,9,3,2,2,3,2,2,2,6,5,,,,,56,53,7,,2,2,2,2
20,9,2,26,11,2,5,1,1,1,4,6,3,1,5,5,4,3,3,1,4,1,1,7,6,,,,,,53,99,,2,1,2,1
20,10,2,27,11,2,5,1,2,2,4,5,5,2,8,4,3,2,1,2,1,2,1,7,5,2,2,2,2,,54,99,0,2,1,2,1
21,9,1,29,8,4,4,4,4,4,4,4,4,4,5,5,2,3,4,4,4,4,4,4,5,,,,,2,54,5,,2,2,1,1
21,10,1,30,5,4,4,4,4,4,4,4,4,4,5,5,2,3,4,4,4,4,4,4,5,2,2,2,2,1,4,7,1,2,2,2,1
21,11,1,31,5,4,4,4,4,4,4,4,4,4,5,5,2,3,4,4,4,4,4,4,5,2,2,2,2,,2,6,1,2,2,1,1
21,12,1,32,5,4,4,4,4,4,4,4,4,4,5,5,3,3,4,4,4,5,5,7,5,2,2,2,2,,2,6,1,1,2,2,1
22,9,2,45,9,2,6,3,1,1,6,6,2,1,7,5,3,4,5,6,3,5,5,7,2,,,,,4,4,6,,1,1,2,1
22,10,2,46,9,2,6,2,1,2,6,6,3,2,5,5,3,4,6,4,2,6,5,7,2,2,1,2,2,4,4,6,0,2,1,2,1
22,11,2,47,9,1,5,3,1,1,6,6,3,2,6,3,3,3,6,4,6,6,6,6,2,2,2,2,2,,4,6,0,2,1,2,1
22,12,2,48,9,5,4,3,2,2,4,6,5,2,5,6,3,3,5,4,5,4,5,6,2,2,2,2,2,,1,7,0,2,2,2,1
23,11,1,52,11,3,3,3,3,3,3,3,4,3,7,7,2,4,4,4,4,4,4,5,5,2,2,2,2,,54,10,1,1,2,2,1
23,12,1,53,11,4,4,4,4,4,4,4,5,4,8,8,2,3,5,4,4,4,5,5,5,2,2,2,2,,53,9,1,1,1,2,1
25,9,1,28,10,2,5,2,3,3,5,5,4,2,8,7,2,4,5,5,5,4,4,6,3,,,,,3,3,99,,2,1,2,1
25,10,1,29,10,2,7,2,2,2,6,6,4,2,5,0,2,4,6,6,6,5,4,6,4,2,2,1,1,5,5,99,1,2,2,2,1
